
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Pressure: 9am only
Station,Date(NZST),Pmsl(hPa),Pstn(hPa),tend,amt(hPa),a24(hPa)
Auckland Aero,20030410:0900,1011.6,-,-,-,-
Auckland Aero,20030411:0900,1021.5,-,-,-,-
Auckland Aero,20030412:0900,1025.0,-,2,1.4,-
Auckland Aero,20030413:0900,1027.1,-,2,1.0,-
Auckland Aero,20030414:0900,1026.4,-,2,0.4,-
Auckland Aero,20030415:0900,1021.0,-,4,0.0,-
Auckland Aero,20030416:0900,1011.0,-,7,1.1,-
Auckland Aero,20030417:0900,1005.0,-,2,1.0,-
Auckland Aero,20030418:0900,1011.8,-,2,1.7,-
Auckland Aero,20030419:0900,1015.3,-,2,1.6,-
Auckland Aero,20030420:0900,1020.2,-,2,0.9,-
Auckland Aero,20030421:0900,1017.4,-,2,0.2,-
Auckland Aero,20030422:0900,1018.1,-,2,1.4,-
Auckland Aero,20030423:0900,1022.0,-,2,1.2,-
Auckland Aero,20030424:0900,1018.1,-,2,0.7,-
Auckland Aero,20030425:0900,1021.1,-,2,3.1,-
Auckland Aero,20030426:0900,1025.6,-,2,1.1,-
Auckland Aero,20030427:0900,1021.2,-,2,1.6,-
Auckland Aero,20030428:0900,1024.4,-,-,-,-
Auckland Aero,20030429:0900,1031.1,-,-,-,-
Auckland Aero,20030430:0900,1031.4,-,2,0.7,-
Auckland Aero,20030501:0900,1027.1,-,-,-,-
Auckland Aero,20030502:0900,1016.4,-,-,-,-
Auckland Aero,20030503:0900,1014.1,-,2,1.6,-
Auckland Aero,20030504:0900,1010.3,-,2,0.7,-
Auckland Aero,20030505:0900,1013.7,-,2,2.6,-
Auckland Aero,20030506:0900,1022.2,-,2,0.7,-
Auckland Aero,20030507:0900,1011.0,-,7,0.2,-
Auckland Aero,20030508:0900,1013.3,-,2,2.0,-
Auckland Aero,20030509:0900,1019.4,-,2,1.9,-
Auckland Aero,20030510:0900,1018.7,-,2,0.4,-
Auckland Aero,20030511:0900,1015.7,-,2,0.8,-
Auckland Aero,20030512:0900,1014.4,-,2,1.0,-
Auckland Aero,20030513:0900,1022.2,-,2,2.3,-
Auckland Aero,20030514:0900,1027.1,-,2,1.1,-
Auckland Aero,20030515:0900,1028.7,-,-,-,-
Auckland Aero,20030516:0900,1031.7,-,-,-,-
Auckland Aero,20030517:0900,1031.1,-,2,0.6,-
Auckland Aero,20030518:0900,1029.1,-,4,0.0,-
Auckland Aero,20030519:0900,1024.2,-,-,-,-
Auckland Aero,20030520:0900,1018.3,-,2,0.3,-
Auckland Aero,20030521:0900,1014.3,-,2,0.3,-
Auckland Aero,20030522:0900,1006.7,-,2,1.0,-
Auckland Aero,20030523:0900,1011.0,-,2,2.0,-
Auckland Aero,20030524:0900,1017.5,-,2,1.7,-
Auckland Aero,20030525:0900,1021.9,-,2,1.8,-
Auckland Aero,20030526:0900,1023.0,-,2,0.9,-
Auckland Aero,20030527:0900,1019.9,-,2,1.0,-
Auckland Aero,20030528:0900,1019.2,-,-,-,-
Auckland Aero,20030529:0900,1023.3,-,-,-,-
Auckland Aero,20030530:0900,1019.3,-,-,-,-
Auckland Aero,20030531:0900,1019.9,-,2,2.5,-
Auckland Aero,20030601:0900,1023.4,-,2,1.1,-
Auckland Aero,20030602:0900,1023.2,-,2,1.3,-
Auckland Aero,20030603:0900,1023.7,-,-,-,-
Auckland Aero,20030604:0900,1023.6,-,-,-,-
Auckland Aero,20030605:0900,1020.3,-,2,0.7,-
Auckland Aero,20030606:0900,1014.6,-,2,0.8,-
Auckland Aero,20030607:0900,1016.8,-,2,1.8,-
Auckland Aero,20030608:0900,1018.0,-,2,0.3,-
Auckland Aero,20030609:0900,1001.3,-,2,1.3,-
Auckland Aero,20030610:0900,1006.7,-,2,3.3,-
Auckland Aero,20030611:0900,1018.6,-,2,2.0,-
Auckland Aero,20030612:0900,1025.6,-,2,2.2,-
Auckland Aero,20030613:0900,1030.2,-,-,-,-
Auckland Aero,20030614:0900,1025.4,-,4,0.0,-
Auckland Aero,20030615:0900,1014.1,-,7,0.6,-
Auckland Aero,20030616:0900,1006.9,-,-,-,-
Auckland Aero,20030617:0900,1009.2,-,2,1.5,-
Auckland Aero,20030618:0900,1007.0,-,2,0.7,-
Auckland Aero,20030619:0900,1014.7,-,2,1.9,-
Auckland Aero,20030620:0900,1018.6,-,2,0.9,-
Auckland Aero,20030621:0900,1021.4,-,2,1.6,-
Auckland Aero,20030622:0900,1023.1,-,2,0.4,-
Auckland Aero,20030623:0900,1018.3,-,2,0.3,-
Auckland Aero,20030624:0900,1014.8,-,-,-,-
Auckland Aero,20030625:0900,1020.9,-,-,-,-
Auckland Aero,20030626:0900,1032.9,-,-,-,-
Auckland Aero,20030627:0900,1034.2,-,-,-,-
Auckland Aero,20030628:0900,1025.1,-,7,0.2,-
Auckland Aero,20030629:0900,1013.1,-,7,1.0,-
Auckland Aero,20030630:0900,1007.0,-,7,0.4,-
Auckland Aero,20030701:0900,996.1,-,2,3.8,-
Auckland Aero,20030702:0900,1008.9,-,2,2.8,-
Auckland Aero,20030703:0900,1013.6,-,7,0.2,-
Auckland Aero,20030704:0900,994.0,-,2,1.3,-
Auckland Aero,20030705:0900,1001.7,-,2,2.4,-
Auckland Aero,20030706:0900,1016.3,-,2,3.3,-
Auckland Aero,20030707:0900,1020.1,-,4,0.0,-
Auckland Aero,20030708:0900,1016.2,-,2,2.2,-
Auckland Aero,20030709:0900,1023.9,-,-,-,-
Auckland Aero,20030710:0900,1017.2,-,-,-,-
Auckland Aero,20030711:0900,1016.2,-,2,1.0,-
Auckland Aero,20030712:0900,1022.8,-,2,1.6,-
Auckland Aero,20030713:0900,1028.5,-,2,1.2,-
Auckland Aero,20030714:0900,1030.9,-,2,1.3,-
Auckland Aero,20030715:0900,1030.1,-,2,1.2,-
Auckland Aero,20030716:0900,1028.5,-,2,0.1,-
Auckland Aero,20030717:0900,1018.6,-,7,0.3,-
Auckland Aero,20030718:0900,1010.4,-,7,0.2,-
Auckland Aero,20030719:0900,1006.0,-,2,0.6,-
Auckland Aero,20030720:0900,1016.2,-,2,3.1,-
Auckland Aero,20030721:0900,1025.4,-,2,2.3,-
Auckland Aero,20030722:0900,1030.8,-,2,1.4,-
Auckland Aero,20030723:0900,1034.6,-,2,1.8,-
Auckland Aero,20030724:0900,1036.7,-,2,1.7,-
Auckland Aero,20030725:0900,1033.7,-,2,0.8,-
Auckland Aero,20030726:0900,1029.1,-,2,0.9,-
Auckland Aero,20030727:0900,1022.5,-,7,0.2,-
Auckland Aero,20030728:0900,1010.3,-,2,0.3,-
Auckland Aero,20030729:0900,1007.1,-,-,-,-
Auckland Aero,20030730:0900,1012.4,-,2,2.6,-
Auckland Aero,20030731:0900,1014.4,-,2,0.6,-
Auckland Aero,20030801:0900,1011.4,-,2,0.6,-
Auckland Aero,20030802:0900,1005.7,-,2,0.6,-
Auckland Aero,20030803:0900,1013.6,-,2,2.6,-
Auckland Aero,20030804:0900,1021.5,-,2,1.5,-
Auckland Aero,20030805:0900,1025.1,-,2,1.7,-
Auckland Aero,20030806:0900,1025.0,-,2,0.6,-
Auckland Aero,20030807:0900,1023.9,-,2,0.8,-
Auckland Aero,20030808:0900,1019.5,-,-,-,-
Auckland Aero,20030809:0900,1016.9,-,2,0.7,-
