Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Auckland, Sky Tower,20220308:1100,70,8.8,5.1,1.3,1,H
Auckland, Sky Tower,20220308:1200,74,8.1,6.8,1.8,1,H
Auckland, Sky Tower,20220308:1300,72,8.2,6.1,1.2,1,H
Auckland, Sky Tower,20220308:1400,70,10.2,4.5,1.6,1,H
Auckland, Sky Tower,20220308:1500,63,9.7,4.0,0.9,1,H
Auckland, Sky Tower,20220308:1600,62,11.5,3.6,1.1,1,H
Auckland, Sky Tower,20220308:1700,63,11.2,4.4,1.1,1,H
Auckland, Sky Tower,20220308:1800,59,10.5,4.3,1.2,1,H
Auckland, Sky Tower,20220308:1900,63,10.2,4.1,0.8,1,H
Auckland, Sky Tower,20220308:2000,68,10.0,4.1,1.5,1,H
Auckland, Sky Tower,20220308:2100,71,10.1,3.1,1.0,1,H
Auckland, Sky Tower,20220308:2200,74,8.5,2.6,0.8,1,H
Auckland, Sky Tower,20220308:2300,69,7.7,4.2,0.9,1,H
Auckland, Sky Tower,20220309:0000,64,7.0,5.9,0.5,1,H
Auckland, Sky Tower,20220309:0100,68,7.0,4.5,0.7,1,H
Auckland, Sky Tower,20220309:0200,67,7.8,6.5,1.3,1,H
Auckland, Sky Tower,20220309:0300,70,9.0,4.3,1.0,1,H
Auckland, Sky Tower,20220309:0400,76,7.0,3.0,0.9,1,H
Auckland, Sky Tower,20220309:0500,79,6.9,2.4,0.6,1,H
Auckland, Sky Tower,20220309:0600,81,6.9,1.8,0.5,1,H
Auckland, Sky Tower,20220309:0700,80,7.4,2.2,1.0,1,H
Auckland, Sky Tower,20220309:0800,84,6.5,2.3,0.5,1,H
Auckland, Sky Tower,20220309:0900,83,6.0,6.6,1.1,1,H
Auckland, Sky Tower,20220309:1000,76,6.6,4.5,0.8,1,H
Auckland, Sky Tower,20220309:1100,75,6.5,4.0,0.7,1,H
Auckland, Sky Tower,20220309:1200,72,5.1,6.7,0.7,1,H
Auckland, Sky Tower,20220309:1300,65,4.3,10.1,0.8,1,H
Auckland, Sky Tower,20220309:1400,47,5.4,18.5,1.0,1,H
Auckland, Sky Tower,20220309:1500,40,6.1,13.6,1.0,1,H
Auckland, Sky Tower,20220309:1600,38,7.3,9.2,1.0,1,H
Auckland, Sky Tower,20220309:1700,46,7.3,11.8,1.2,1,H
Auckland, Sky Tower,20220309:1800,58,8.3,5.8,0.9,1,H
Auckland, Sky Tower,20220309:1900,53,8.5,4.1,0.7,1,H
Auckland, Sky Tower,20220309:2000,56,7.8,4.6,0.8,1,H
Auckland, Sky Tower,20220309:2100,65,8.5,4.3,0.4,1,H
Auckland, Sky Tower,20220309:2200,70,8.4,2.8,0.6,1,H
Auckland, Sky Tower,20220309:2300,68,9.3,3.2,0.8,1,H
Auckland, Sky Tower,20220310:0000,70,9.2,3.4,0.8,1,H
Auckland, Sky Tower,20220310:0100,70,8.7,3.9,0.8,1,H
Auckland, Sky Tower,20220310:0200,68,6.9,4.3,0.7,1,H
Auckland, Sky Tower,20220310:0300,73,7.2,3.2,0.8,1,H
Auckland, Sky Tower,20220310:0400,75,6.9,2.9,0.8,1,H
Auckland, Sky Tower,20220310:0500,80,5.9,2.7,0.8,1,H
Auckland, Sky Tower,20220310:0600,79,7.0,2.7,1.1,1,H
Auckland, Sky Tower,20220310:0700,85,6.8,5.1,0.7,1,H
Auckland, Sky Tower,20220310:0800,81,7.0,2.0,0.5,1,H
Auckland, Sky Tower,20220310:0900,79,6.0,6.1,1.4,1,H
Auckland, Sky Tower,20220310:1000,80,6.4,6.7,1.0,1,H
Auckland, Sky Tower,20220310:1100,81,7.2,5.2,1.1,1,H
Auckland, Sky Tower,20220310:1200,70,7.9,5.7,0.8,1,H
Auckland, Sky Tower,20220310:1300,65,8.2,5.6,1.0,1,H
Auckland, Sky Tower,20220310:1400,62,9.4,6.6,1.6,1,H
Auckland, Sky Tower,20220310:1500,66,11.7,4.8,1.5,1,H
Auckland, Sky Tower,20220310:1600,61,9.2,4.5,1.0,1,H
Auckland, Sky Tower,20220310:1700,55,9.0,6.6,0.9,1,H
Auckland, Sky Tower,20220310:1800,55,7.9,5.6,0.8,1,H
Auckland, Sky Tower,20220310:1900,62,10.4,5.2,1.3,1,H
Auckland, Sky Tower,20220310:2000,69,10.0,3.9,1.1,1,H
Auckland, Sky Tower,20220310:2100,65,9.8,4.6,0.9,1,H
Auckland, Sky Tower,20220310:2200,62,9.5,6.8,1.6,1,H
Auckland, Sky Tower,20220310:2300,63,11.6,3.5,0.9,1,H
Auckland, Sky Tower,20220311:0000,71,10.0,4.4,0.8,1,H
Auckland, Sky Tower,20220311:0100,70,8.9,4.2,0.8,1,H
Auckland, Sky Tower,20220311:0200,63,9.1,4.5,1.4,1,H
Auckland, Sky Tower,20220311:0300,64,9.0,5.3,1.3,1,H
Auckland, Sky Tower,20220311:0400,62,10.7,3.3,0.9,1,H
Auckland, Sky Tower,20220311:0500,71,10.1,4.7,0.8,1,H
Auckland, Sky Tower,20220311:0600,70,11.1,3.5,0.9,1,H
Auckland, Sky Tower,20220311:0700,63,10.4,6.1,1.2,1,H
Auckland, Sky Tower,20220311:0800,66,9.2,5.7,0.9,1,H
Auckland, Sky Tower,20220311:0900,71,10.0,3.8,0.9,1,H
Auckland, Sky Tower,20220311:1000,71,9.6,5.0,1.0,1,H
Auckland, Sky Tower,20220311:1100,58,9.6,8.7,1.1,1,H
Auckland, Sky Tower,20220311:1200,67,10.1,5.2,0.9,1,H
Auckland, Sky Tower,20220311:1300,48,8.9,13.0,1.2,1,H
Auckland, Sky Tower,20220311:1400,42,8.6,11.0,1.1,1,H
Auckland, Sky Tower,20220311:1500,66,9.6,4.5,0.9,1,H
Auckland, Sky Tower,20220311:1600,65,8.6,4.3,0.8,1,H
Auckland, Sky Tower,20220311:1700,65,8.8,4.3,1.0,1,H
Auckland, Sky Tower,20220311:1800,57,7.0,6.6,1.1,1,H
Auckland, Sky Tower,20220311:1900,43,6.5,6.5,0.7,1,H
Auckland, Sky Tower,20220311:2000,42,7.0,7.7,0.7,1,H
Auckland, Sky Tower,20220311:2100,27,6.0,7.7,0.5,1,H
Auckland, Sky Tower,20220311:2200,30,6.8,6.5,0.8,1,H
Auckland, Sky Tower,20220311:2300,30,7.8,5.1,0.7,1,H
Auckland, Sky Tower,20220312:0000,27,6.6,4.5,0.4,1,H
Auckland, Sky Tower,20220312:0100,27,6.5,4.7,0.5,1,H
Auckland, Sky Tower,20220312:0200,24,6.5,3.9,0.4,1,H
Auckland, Sky Tower,20220312:0300,16,5.3,6.4,0.7,1,H
Auckland, Sky Tower,20220312:0400,19,5.5,6.2,0.5,1,H
Auckland, Sky Tower,20220312:0500,14,4.2,11.8,0.9,1,H
Auckland, Sky Tower,20220312:0600,357,3.6,4.2,0.3,1,H
Auckland, Sky Tower,20220312:0700,2,3.5,5.4,0.2,1,H
Auckland, Sky Tower,20220312:0800,7,3.6,5.5,0.3,1,H
Auckland, Sky Tower,20220312:0900,11,3.0,8.5,0.6,1,H
Auckland, Sky Tower,20220312:1000,19,2.8,13.7,0.6,1,H
Auckland, Sky Tower,20220312:1100,25,3.5,11.2,0.7,1,H
Auckland, Sky Tower,20220312:1200,22,3.7,9.2,0.6,1,H
Auckland, Sky Tower,20220312:1300,16,3.3,8.2,0.6,1,H
Auckland, Sky Tower,20220312:1400,350,1.8,33.7,0.7,1,H
Auckland, Sky Tower,20220312:1500,285,1.8,25.8,0.7,1,H
Auckland, Sky Tower,20220312:1600,266,2.3,24.4,0.6,1,H
Auckland, Sky Tower,20220312:1700,222,4.0,30.1,1.0,1,H
Auckland, Sky Tower,20220312:1800,219,4.4,14.4,0.7,1,H
Auckland, Sky Tower,20220312:1900,212,4.6,9.7,0.5,1,H
Auckland, Sky Tower,20220312:2000,226,3.7,11.4,0.8,1,H
Auckland, Sky Tower,20220312:2100,246,3.2,4.0,0.3,1,H
Auckland, Sky Tower,20220312:2200,238,3.2,6.0,0.3,1,H
Auckland, Sky Tower,20220312:2300,204,3.0,10.1,0.3,1,H
Auckland, Sky Tower,20220313:0000,197,6.5,10.0,1.9,1,H
Auckland, Sky Tower,20220313:0100,187,7.5,3.1,0.8,1,H
Auckland, Sky Tower,20220313:0200,188,8.2,3.2,0.7,1,H
Auckland, Sky Tower,20220313:0300,184,7.7,3.5,0.7,1,H
Auckland, Sky Tower,20220313:0400,178,5.6,7.7,1.0,1,H
Auckland, Sky Tower,20220313:0500,177,6.1,3.5,0.6,1,H
Auckland, Sky Tower,20220313:0600,160,4.9,11.4,1.1,1,H
Auckland, Sky Tower,20220313:0700,117,2.6,24.1,1.3,1,H
Auckland, Sky Tower,20220313:0800,99,2.6,7.6,0.9,1,H
Auckland, Sky Tower,20220313:0900,88,4.6,8.3,0.8,1,H
Auckland, Sky Tower,20220313:1000,84,4.4,9.6,0.9,1,H
Auckland, Sky Tower,20220313:1100,84,4.7,8.2,0.8,1,H
Auckland, Sky Tower,20220313:1200,72,6.6,4.7,0.9,1,H
Auckland, Sky Tower,20220313:1300,66,7.1,6.0,0.9,1,H
Auckland, Sky Tower,20220313:1400,58,5.7,8.4,1.0,1,H
Auckland, Sky Tower,20220313:1500,44,4.2,11.8,0.7,1,H
Auckland, Sky Tower,20220313:1600,29,4.6,10.7,0.6,1,H
Auckland, Sky Tower,20220313:1700,27,4.5,7.6,0.5,1,H
Auckland, Sky Tower,20220313:1800,14,4.1,5.8,0.3,1,H
Auckland, Sky Tower,20220313:1900,8,3.4,4.8,0.4,1,H
Auckland, Sky Tower,20220313:2000,7,1.0,12.1,0.3,1,H
Auckland, Sky Tower,20220313:2100,297,1.4,33.4,0.9,1,H
Auckland, Sky Tower,20220313:2200,293,3.6,6.1,0.6,1,H
Auckland, Sky Tower,20220313:2300,291,2.6,26.4,0.8,1,H
Auckland, Sky Tower,20220314:0000,106,3.1,25.6,1.6,1,H
Auckland, Sky Tower,20220314:0100,89,5.4,3.3,0.5,1,H
Auckland, Sky Tower,20220314:0200,99,3.6,7.8,1.0,1,H
Auckland, Sky Tower,20220314:0300,104,2.2,11.5,0.8,1,H
Auckland, Sky Tower,20220314:0400,111,1.2,9.2,0.5,1,H
Auckland, Sky Tower,20220314:0500,126,0.8,16.6,0.4,1,H
Auckland, Sky Tower,20220314:0600,140,1.2,11.7,0.3,1,H
Auckland, Sky Tower,20220314:0700,130,1.0,16.0,0.4,1,H
Auckland, Sky Tower,20220314:0800,102,2.4,10.2,0.7,1,H
Auckland, Sky Tower,20220314:0900,90,1.1,25.6,0.5,1,H
Auckland, Sky Tower,20220314:1000,97,1.3,45.9,0.8,1,H
Auckland, Sky Tower,20220314:1100,18,1.0,49.2,0.6,1,H
Auckland, Sky Tower,20220314:1200,356,1.2,52.1,0.5,1,H
Auckland, Sky Tower,20220314:1300,358,1.9,19.7,0.7,1,H
Auckland, Sky Tower,20220314:1400,350,2.1,13.7,0.4,1,H
Auckland, Sky Tower,20220314:1500,353,2.2,28.1,0.5,1,H
Auckland, Sky Tower,20220314:1600,224,3.3,58.9,2.1,1,H
Auckland, Sky Tower,20220314:1700,185,6.4,5.9,1.1,1,H
Auckland, Sky Tower,20220314:1800,188,6.9,4.8,0.7,1,H
Auckland, Sky Tower,20220314:1900,191,8.3,3.2,0.9,1,H
Auckland, Sky Tower,20220314:2000,193,10.2,1.3,0.5,1,H
Auckland, Sky Tower,20220314:2100,191,9.2,1.3,0.7,1,H
Auckland, Sky Tower,20220314:2200,190,8.6,2.1,0.4,1,H
Auckland, Sky Tower,20220314:2300,188,7.6,1.8,0.8,1,H
Auckland, Sky Tower,20220315:0000,182,6.4,2.9,0.5,1,H
Auckland, Sky Tower,20220315:0100,180,7.7,2.3,0.4,1,H
Auckland, Sky Tower,20220315:0200,185,6.2,4.4,0.9,1,H
Auckland, Sky Tower,20220315:0300,192,6.4,4.6,0.6,1,H
Auckland, Sky Tower,20220315:0400,192,5.6,4.7,0.4,1,H
Auckland, Sky Tower,20220315:0500,179,3.7,2.7,0.6,1,H
Auckland, Sky Tower,20220315:0600,185,3.0,5.7,0.5,1,H
Auckland, Sky Tower,20220315:0700,214,3.9,6.9,0.5,1,H
Auckland, Sky Tower,20220315:0800,216,3.6,3.8,0.2,1,H
Auckland, Sky Tower,20220315:0900,210,2.4,15.1,0.5,1,H
Auckland, Sky Tower,20220315:1000,208,1.7,36.5,0.7,1,H
Auckland, Sky Tower,20220315:1100,204,2.1,36.3,1.0,1,H
Auckland, Sky Tower,20220315:1200,33,1.2,97.6,0.7,1,H
Auckland, Sky Tower,20220315:1300,237,1.6,88.2,1.0,1,H
Auckland, Sky Tower,20220315:1400,356,1.6,34.0,0.7,1,H
Auckland, Sky Tower,20220315:1500,339,2.6,35.8,1.2,1,H
Auckland, Sky Tower,20220315:1600,282,3.5,15.8,0.7,1,H
Auckland, Sky Tower,20220315:1700,270,3.4,13.3,0.7,1,H
Auckland, Sky Tower,20220315:1800,205,3.4,27.5,1.1,1,H
Auckland, Sky Tower,20220315:1900,218,3.5,10.9,0.6,1,H
Auckland, Sky Tower,20220315:2000,200,4.5,7.0,0.5,1,H
Auckland, Sky Tower,20220315:2100,195,4.0,4.0,1.0,1,H
Auckland, Sky Tower,20220315:2200,185,2.3,15.7,0.8,1,H
Auckland, Sky Tower,20220315:2300,164,0.4,2.9,0.5,1,H
Auckland, Sky Tower,20220316:0000,198,0.9,72.0,0.6,1,H
Auckland, Sky Tower,20220316:0100,133,0.9,16.6,0.6,1,H
Auckland, Sky Tower,20220316:0200,137,3.0,31.1,1.6,1,H
Auckland, Sky Tower,20220316:0300,76,5.4,4.6,0.7,1,H
Auckland, Sky Tower,20220316:0400,87,3.4,21.8,1.4,1,H
Auckland, Sky Tower,20220316:0500,133,2.3,22.5,1.2,1,H
Auckland, Sky Tower,20220316:0600,97,4.4,10.8,1.1,1,H
Auckland, Sky Tower,20220316:0700,105,3.8,13.8,1.5,1,H
Auckland, Sky Tower,20220316:0800,103,2.9,18.8,1.4,1,H
Auckland, Sky Tower,20220316:0900,110,2.0,19.2,0.9,1,H
Auckland, Sky Tower,20220316:1000,137,1.1,32.9,0.6,1,H
Auckland, Sky Tower,20220316:1100,228,1.0,89.5,0.6,1,H
Auckland, Sky Tower,20220316:1200,293,2.1,29.5,0.8,1,H
Auckland, Sky Tower,20220316:1300,299,3.1,26.0,0.6,1,H
Auckland, Sky Tower,20220316:1400,341,2.2,30.6,0.7,1,H
Auckland, Sky Tower,20220316:1500,314,2.1,24.2,0.6,1,H
Auckland, Sky Tower,20220316:1600,343,2.8,21.8,0.6,1,H
Auckland, Sky Tower,20220316:1700,9,3.6,14.5,0.9,1,H
Auckland, Sky Tower,20220316:1800,22,4.0,9.4,0.7,1,H
Auckland, Sky Tower,20220316:1900,13,4.0,5.9,0.7,1,H
Auckland, Sky Tower,20220316:2000,3,2.6,16.5,0.8,1,H
Auckland, Sky Tower,20220316:2100,25,2.8,14.7,0.8,1,H
Auckland, Sky Tower,20220316:2200,26,4.8,4.7,0.4,1,H
Auckland, Sky Tower,20220316:2300,46,5.3,5.2,0.4,1,H
Auckland, Sky Tower,20220317:0000,57,3.5,22.0,0.8,1,H
Auckland, Sky Tower,20220317:0100,106,2.4,12.0,1.1,1,H
Auckland, Sky Tower,20220317:0200,91,4.2,4.4,0.7,1,H
Auckland, Sky Tower,20220317:0300,90,2.8,7.2,0.6,1,H
Auckland, Sky Tower,20220317:0400,92,1.3,12.6,0.5,1,H
Auckland, Sky Tower,20220317:0500,137,1.0,15.6,0.5,1,H
Auckland, Sky Tower,20220317:0600,136,1.1,16.2,0.5,1,H
Auckland, Sky Tower,20220317:0700,98,2.2,13.4,0.6,1,H
Auckland, Sky Tower,20220317:0800,76,3.2,7.6,0.3,1,H
Auckland, Sky Tower,20220317:0900,114,1.6,43.3,1.3,1,H
Auckland, Sky Tower,20220317:1000,126,1.2,43.7,0.8,1,H
Auckland, Sky Tower,20220317:1100,89,2.7,27.3,1.1,1,H
Auckland, Sky Tower,20220317:1200,76,3.3,11.9,0.7,1,H
Auckland, Sky Tower,20220317:1300,52,4.4,9.6,0.6,1,H
Auckland, Sky Tower,20220317:1400,26,4.2,14.4,0.8,1,H
Auckland, Sky Tower,20220317:1500,31,3.6,12.2,0.8,1,H
Auckland, Sky Tower,20220317:1600,43,3.6,10.4,0.6,1,H
Auckland, Sky Tower,20220317:1700,38,4.3,9.1,0.8,1,H
Auckland, Sky Tower,20220317:1800,30,4.4,9.1,0.6,1,H
Auckland, Sky Tower,20220317:1900,23,4.3,6.3,0.5,1,H
Auckland, Sky Tower,20220317:2000,14,4.0,6.4,0.5,1,H
Auckland, Sky Tower,20220317:2100,16,3.8,6.1,0.4,1,H
Auckland, Sky Tower,20220317:2200,29,3.1,8.8,0.4,1,H
Auckland, Sky Tower,20220317:2300,38,4.2,4.8,0.4,1,H
Auckland, Sky Tower,20220318:0000,51,5.6,2.1,0.5,1,H
Auckland, Sky Tower,20220318:0100,49,5.6,3.8,0.3,1,H
Auckland, Sky Tower,20220318:0200,56,6.1,5.6,0.8,1,H
Auckland, Sky Tower,20220318:0300,66,7.8,4.1,0.8,1,H
Auckland, Sky Tower,20220318:0400,65,8.5,4.3,0.7,1,H
Auckland, Sky Tower,20220318:0500,65,7.1,4.8,0.7,1,H
Auckland, Sky Tower,20220318:0600,71,7.1,3.6,0.6,1,H
Auckland, Sky Tower,20220318:0700,68,7.1,4.1,0.7,1,H
Auckland, Sky Tower,20220318:0800,65,5.9,4.8,0.6,1,H
Auckland, Sky Tower,20220318:0900,63,7.4,4.7,0.6,1,H
Auckland, Sky Tower,20220318:1000,61,6.6,6.7,0.9,1,H
Auckland, Sky Tower,20220318:1100,63,6.2,6.4,0.8,1,H
Auckland, Sky Tower,20220318:1200,55,5.0,12.4,1.0,1,H
Auckland, Sky Tower,20220318:1300,35,5.4,7.0,0.7,1,H
Auckland, Sky Tower,20220318:1400,41,5.5,8.1,0.7,1,H
Auckland, Sky Tower,20220318:1500,35,5.0,9.2,0.8,1,H
Auckland, Sky Tower,20220318:1600,33,5.3,8.3,0.7,1,H
Auckland, Sky Tower,20220318:1700,34,5.3,7.1,0.7,1,H
Auckland, Sky Tower,20220318:1800,31,6.6,7.1,0.9,1,H
Auckland, Sky Tower,20220318:1900,11,6.7,14.9,0.8,1,H
Auckland, Sky Tower,20220318:2000,4,5.4,7.7,1.6,1,H
Auckland, Sky Tower,20220318:2100,360,3.8,9.9,0.6,1,H
Auckland, Sky Tower,20220318:2200,14,3.4,17.1,1.2,1,H
Auckland, Sky Tower,20220318:2300,18,4.1,11.1,1.1,1,H
Auckland, Sky Tower,20220319:0000,20,4.1,11.2,0.7,1,H
Auckland, Sky Tower,20220319:0100,45,4.6,9.0,0.5,1,H
Auckland, Sky Tower,20220319:0200,51,3.4,15.9,0.9,1,H
Auckland, Sky Tower,20220319:0300,30,5.3,7.6,0.9,1,H
Auckland, Sky Tower,20220319:0400,32,4.2,18.4,0.7,1,H
Auckland, Sky Tower,20220319:0500,38,4.0,18.7,0.9,1,H
Auckland, Sky Tower,20220319:0600,36,5.1,16.4,1.4,1,H
Auckland, Sky Tower,20220319:0700,32,6.6,10.8,1.1,1,H
Auckland, Sky Tower,20220319:0800,32,6.1,6.7,0.8,1,H
Auckland, Sky Tower,20220319:0900,40,7.5,6.4,1.0,1,H
Auckland, Sky Tower,20220319:1000,37,7.6,6.2,1.0,1,H
Auckland, Sky Tower,20220319:1100,47,8.1,13.1,0.9,1,H
Auckland, Sky Tower,20220319:1200,50,8.1,14.1,1.5,1,H
Auckland, Sky Tower,20220319:1300,40,9.4,6.3,1.1,1,H
Auckland, Sky Tower,20220319:1400,41,9.4,6.1,1.1,1,H
Auckland, Sky Tower,20220319:1500,44,10.0,5.5,0.8,1,H
Auckland, Sky Tower,20220319:1600,42,10.6,4.9,1.1,1,H
Auckland, Sky Tower,20220319:1700,43,10.8,5.4,1.1,1,H
Auckland, Sky Tower,20220319:1800,43,11.2,5.3,1.1,1,H
Auckland, Sky Tower,20220319:1900,43,11.7,3.9,1.0,1,H
Auckland, Sky Tower,20220319:2000,41,11.7,5.5,0.9,1,H
Auckland, Sky Tower,20220319:2100,38,11.6,5.8,1.1,1,H
Auckland, Sky Tower,20220319:2200,31,11.2,6.1,1.0,1,H
Auckland, Sky Tower,20220319:2300,35,11.6,9.0,1.3,1,H
Auckland, Sky Tower,20220320:0000,47,14.1,3.2,1.7,1,H
Auckland, Sky Tower,20220320:0100,46,16.0,3.0,1.3,1,H
Auckland, Sky Tower,20220320:0200,48,16.2,3.0,1.3,1,H
Auckland, Sky Tower,20220320:0300,48,16.5,3.3,1.6,1,H
Auckland, Sky Tower,20220320:0400,47,17.6,3.7,1.3,1,H
Auckland, Sky Tower,20220320:0500,50,17.9,3.4,1.8,1,H
Auckland, Sky Tower,20220320:0600,53,17.7,3.4,1.3,1,H
Auckland, Sky Tower,20220320:0700,53,17.0,4.2,1.3,1,H
Auckland, Sky Tower,20220320:0800,59,17.4,3.9,1.1,1,H
Auckland, Sky Tower,20220320:0900,55,16.8,3.5,1.3,1,H
Auckland, Sky Tower,20220320:1000,55,18.2,4.8,1.6,1,H
Auckland, Sky Tower,20220320:1100,58,17.9,5.3,2.0,1,H
Auckland, Sky Tower,20220320:1200,60,19.2,4.2,1.6,1,H
Auckland, Sky Tower,20220320:1300,61,19.1,3.8,1.6,1,H
Auckland, Sky Tower,20220320:1400,63,19.9,4.0,1.5,1,H
Auckland, Sky Tower,20220320:1500,64,21.0,3.1,1.8,1,H
Auckland, Sky Tower,20220320:1600,65,21.7,2.6,1.4,1,H
Auckland, Sky Tower,20220320:1700,67,21.0,3.6,1.9,1,H
Auckland, Sky Tower,20220320:1800,73,19.1,3.1,1.6,1,H
Auckland, Sky Tower,20220320:1900,69,21.3,2.9,1.8,1,H
Auckland, Sky Tower,20220320:2000,65,22.8,3.5,1.8,1,H
Auckland, Sky Tower,20220320:2100,67,22.7,3.4,1.7,1,H
Auckland, Sky Tower,20220320:2200,64,23.1,3.0,1.7,1,H
Auckland, Sky Tower,20220320:2300,65,22.3,2.9,1.4,1,H
Auckland, Sky Tower,20220321:0000,66,23.1,2.7,1.3,1,H
Auckland, Sky Tower,20220321:0100,66,21.7,3.3,1.7,1,H
Auckland, Sky Tower,20220321:0200,70,20.4,3.2,2.2,1,H
Auckland, Sky Tower,20220321:0300,66,21.4,3.5,1.3,1,H
Auckland, Sky Tower,20220321:0400,56,20.7,5.3,2.0,1,H
Auckland, Sky Tower,20220321:0500,57,20.3,4.2,1.5,1,H
Auckland, Sky Tower,20220321:0600,62,19.5,5.2,1.4,1,H
Auckland, Sky Tower,20220321:0700,66,20.3,3.3,1.3,1,H
Auckland, Sky Tower,20220321:0800,350,10.8,63.9,6.4,1,H
Auckland, Sky Tower,20220321:0900,339,5.3,34.4,2.9,1,H
Auckland, Sky Tower,20220321:1000,16,2.8,32.6,1.4,1,H
Auckland, Sky Tower,20220321:1100,278,3.2,36.0,1.2,1,H
Auckland, Sky Tower,20220321:1200,274,3.0,13.8,0.8,1,H
Auckland, Sky Tower,20220321:1300,296,3.7,15.8,0.8,1,H
Auckland, Sky Tower,20220321:1400,322,3.2,29.7,1.1,1,H
Auckland, Sky Tower,20220321:1500,320,2.6,28.5,0.6,1,H
Auckland, Sky Tower,20220321:1600,23,1.8,46.0,0.8,1,H
Auckland, Sky Tower,20220321:1700,41,4.7,19.2,2.6,1,H
Auckland, Sky Tower,20220321:1800,17,9.6,6.3,0.8,1,H
Auckland, Sky Tower,20220321:1900,14,8.2,8.3,0.6,1,H
Auckland, Sky Tower,20220321:2000,3,7.4,12.6,0.8,1,H
Auckland, Sky Tower,20220321:2100,37,7.4,5.1,0.9,1,H
Auckland, Sky Tower,20220321:2200,35,9.2,3.4,0.9,1,H
Auckland, Sky Tower,20220321:2300,21,8.7,5.1,0.7,1,H
Auckland, Sky Tower,20220322:0000,30,8.3,4.8,0.8,1,H
Auckland, Sky Tower,20220322:0100,28,10.2,4.4,0.8,1,H
Auckland, Sky Tower,20220322:0200,32,10.9,4.8,1.1,1,H
Auckland, Sky Tower,20220322:0300,31,9.6,6.2,0.9,1,H
Auckland, Sky Tower,20220322:0400,31,9.2,6.4,1.6,1,H
Auckland, Sky Tower,20220322:0500,33,11.2,4.2,1.1,1,H
Auckland, Sky Tower,20220322:0600,32,12.6,3.5,0.9,1,H
Auckland, Sky Tower,20220322:0700,28,11.6,5.7,1.1,1,H
Auckland, Sky Tower,20220322:0800,36,11.9,4.4,1.1,1,H
Auckland, Sky Tower,20220322:0900,37,12.3,4.5,1.1,1,H
Auckland, Sky Tower,20220322:1000,36,12.2,4.4,1.0,1,H
Auckland, Sky Tower,20220322:1100,37,11.8,4.4,0.9,1,H
Auckland, Sky Tower,20220322:1200,39,11.8,5.5,1.6,1,H
Auckland, Sky Tower,20220322:1300,40,12.2,5.3,1.5,1,H
Auckland, Sky Tower,20220322:1400,35,12.1,5.4,1.5,1,H
Auckland, Sky Tower,20220322:1500,37,12.6,4.9,1.3,1,H
Auckland, Sky Tower,20220322:1600,33,12.8,3.9,1.1,1,H
Auckland, Sky Tower,20220322:1700,13,10.9,14.9,2.0,1,H
Auckland, Sky Tower,20220322:1800,33,12.6,4.2,0.9,1,H
Auckland, Sky Tower,20220322:1900,28,13.6,5.2,0.9,1,H
Auckland, Sky Tower,20220322:2000,28,12.1,11.9,2.3,1,H
Auckland, Sky Tower,20220322:2100,27,11.4,6.6,1.0,1,H
Auckland, Sky Tower,20220322:2200,21,12.4,5.0,1.0,1,H
Auckland, Sky Tower,20220322:2300,21,12.6,4.1,1.1,1,H
Auckland, Sky Tower,20220323:0000,16,11.5,4.1,1.2,1,H
Auckland, Sky Tower,20220323:0100,9,9.4,5.1,1.3,1,H
Auckland, Sky Tower,20220323:0200,6,5.2,14.6,0.6,1,H
Auckland, Sky Tower,20220323:0300,19,4.1,20.7,1.1,1,H
Auckland, Sky Tower,20220323:0400,2,7.3,7.3,1.7,1,H
Auckland, Sky Tower,20220323:0500,20,9.2,8.3,0.8,1,H
Auckland, Sky Tower,20220323:0600,8,6.9,4.8,0.8,1,H
Auckland, Sky Tower,20220323:0700,10,6.3,11.2,0.5,1,H
Auckland, Sky Tower,20220323:0800,57,9.0,10.8,2.3,1,H
Auckland, Sky Tower,20220323:0900,69,8.7,5.6,1.2,1,H
Auckland, Sky Tower,20220323:1000,63,8.1,6.8,1.5,1,H
Auckland, Sky Tower,20220323:1100,74,4.0,9.6,1.3,1,H
Auckland, Sky Tower,20220323:1200,70,2.8,13.4,1.0,1,H
Auckland, Sky Tower,20220323:1300,70,1.8,20.2,0.7,1,H
Auckland, Sky Tower,20220323:1400,54,2.6,20.8,0.9,1,H
Auckland, Sky Tower,20220323:1500,59,3.6,8.5,0.7,1,H
Auckland, Sky Tower,20220323:1600,27,1.8,19.3,0.4,1,H
Auckland, Sky Tower,20220323:1700,358,2.7,10.0,0.7,1,H
Auckland, Sky Tower,20220323:1800,278,3.4,33.7,1.0,1,H
Auckland, Sky Tower,20220323:1900,231,5.4,7.7,1.1,1,H
Auckland, Sky Tower,20220323:2000,209,4.1,11.2,0.6,1,H
Auckland, Sky Tower,20220323:2100,235,3.0,14.5,0.4,1,H
Auckland, Sky Tower,20220323:2200,254,2.4,7.4,0.4,1,H
Auckland, Sky Tower,20220323:2300,240,5.6,7.1,1.0,1,H
Auckland, Sky Tower,20220324:0000,245,7.4,2.4,0.2,1,H
Auckland, Sky Tower,20220324:0100,234,7.1,6.4,0.4,1,H
Auckland, Sky Tower,20220324:0200,228,7.2,3.1,0.7,1,H
