Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20080312:0800,23.8,24,16.8,24,13.8,24,20.3,-,24,D
Auckland Aero,20080313:0800,22.7,24,14.9,24,11.2,24,18.8,-,24,D
Auckland Aero,20080314:0800,24.3,24,16.2,24,14.9,24,20.3,-,24,D
Auckland Aero,20080315:0800,24.2,24,15.1,24,11.3,24,19.7,-,24,D
Auckland Aero,20080316:0800,23.9,24,16.6,24,16.3,24,20.3,-,24,D
Auckland Aero,20080317:0800,23.3,24,14.7,24,10.4,24,19.0,-,24,D
Auckland Aero,20080318:0800,24.2,24,16.0,24,11.0,24,20.1,-,24,D
Auckland Aero,20080319:0800,23.1,24,15.6,24,10.2,24,19.4,-,24,D
Auckland Aero,20080320:0800,23.4,24,15.4,24,9.3,24,19.4,-,24,D
Auckland Aero,20080321:0800,24.2,24,13.6,24,7.2,24,18.9,-,24,D
Auckland Aero,20080322:0800,24.1,24,13.9,24,7.6,24,19.0,-,24,D
Auckland Aero,20080323:0800,23.3,24,12.8,24,6.9,24,18.1,-,24,D
Auckland Aero,20080324:0800,25.6,24,16.5,24,15.2,24,21.1,-,24,D
Auckland Aero,20080325:0800,24.4,24,15.1,24,10.8,24,19.8,-,24,D
Auckland Aero,20080326:0800,22.9,24,16.1,24,11.0,24,19.5,-,24,D
Auckland Aero,20080327:0800,24.7,24,15.9,24,10.3,24,20.3,-,24,D
Auckland Aero,20080328:0800,25.5,24,16.6,24,10.5,24,21.1,-,24,D
Auckland Aero,20080329:0800,24.9,24,17.0,24,13.0,24,21.0,-,24,D
Auckland Aero,20080330:0800,23.9,24,17.6,24,12.8,24,20.8,-,24,D
Auckland Aero,20080331:0800,25.2,24,18.8,24,16.0,24,22.0,-,24,D
Auckland Aero,20080401:0800,22.9,24,19.4,24,18.4,24,21.2,-,24,D
Auckland Aero,20080402:0800,21.7,24,16.8,24,13.3,24,19.3,-,24,D
Auckland Aero,20080403:0800,22.1,24,11.5,24,6.0,24,16.8,-,24,D
Auckland Aero,20080404:0800,21.1,24,13.9,24,9.7,24,17.5,-,24,D
Auckland Aero,20080405:0800,22.2,24,12.6,24,7.9,24,17.4,-,24,D
Auckland Aero,20080406:0900,22.4,24,11.7,24,7.6,24,17.1,-,24,D
Auckland Aero,20080407:0900,22.4,24,13.3,24,8.1,24,17.9,-,24,D
Auckland Aero,20080408:0900,22.7,24,13.7,24,10.7,24,18.2,-,24,D
Auckland Aero,20080409:0900,21.2,24,10.6,24,5.5,24,15.9,-,24,D
Auckland Aero,20080410:0900,20.0,24,9.2,24,2.9,24,14.6,-,24,D
Auckland Aero,20080411:0900,21.1,24,9.9,24,3.5,24,15.5,-,24,D
Auckland Aero,20080412:0900,21.5,24,11.9,24,5.7,24,16.7,-,24,D
Auckland Aero,20080413:0900,20.5,24,13.5,24,8.0,24,17.0,-,24,D
Auckland Aero,20080414:0900,19.6,24,16.0,24,14.3,24,17.8,-,24,D
Auckland Aero,20080415:0900,20.5,24,16.9,24,16.9,24,18.7,-,24,D
Auckland Aero,20080416:0900,20.1,24,15.7,24,11.8,24,17.9,-,24,D
Auckland Aero,20080417:0900,20.9,24,16.7,24,15.9,24,18.8,-,24,D
Auckland Aero,20080418:0900,21.4,24,14.9,24,12.5,24,18.2,-,24,D
Auckland Aero,20080419:0900,20.2,24,14.6,24,11.6,24,17.4,-,24,D
Auckland Aero,20080420:0900,18.4,24,7.8,24,4.9,24,13.1,-,24,D
Auckland Aero,20080421:0900,16.7,24,7.0,24,2.2,24,11.9,-,24,D
Auckland Aero,20080422:0900,17.3,24,10.5,24,4.9,24,13.9,-,24,D
Auckland Aero,20080423:0900,19.5,24,13.6,24,11.1,24,16.6,-,24,D
Auckland Aero,20080424:0900,18.7,24,15.5,24,12.9,24,17.1,-,24,D
Auckland Aero,20080425:0900,19.8,24,12.4,24,7.1,24,16.1,-,24,D
Auckland Aero,20080426:0900,18.3,24,12.1,24,8.1,24,15.2,-,24,D
Auckland Aero,20080427:0900,20.1,24,17.4,24,15.9,24,18.8,-,24,D
Auckland Aero,20080428:0900,21.5,24,13.6,24,10.6,24,17.6,-,24,D
Auckland Aero,20080429:0900,22.9,24,16.6,24,16.0,24,19.8,-,24,D
Auckland Aero,20080430:0900,20.4,24,15.5,24,12.4,24,18.0,-,24,D
Auckland Aero,20080501:0900,21.1,24,12.9,24,10.8,24,17.0,-,24,D
Auckland Aero,20080502:0900,17.5,24,12.2,24,9.3,24,14.9,-,24,D
Auckland Aero,20080503:0900,17.7,24,11.7,24,10.4,24,14.7,-,24,D
Auckland Aero,20080504:0900,15.5,24,10.2,24,7.5,24,12.9,-,24,D
Auckland Aero,20080505:0900,15.2,24,12.5,24,11.8,24,13.9,-,24,D
Auckland Aero,20080506:0900,19.3,24,10.5,24,8.5,24,14.9,-,24,D
Auckland Aero,20080507:0900,15.8,24,7.9,24,3.8,24,11.9,-,24,D
Auckland Aero,20080508:0900,15.6,24,5.7,24,2.2,24,10.7,-,24,D
Auckland Aero,20080509:0900,17.8,24,9.8,24,9.7,24,13.8,-,24,D
Auckland Aero,20080510:0900,16.5,24,10.2,24,7.1,24,13.4,-,24,D
Auckland Aero,20080511:0900,17.9,24,12.8,24,10.2,24,15.4,-,24,D
Auckland Aero,20080512:0900,18.0,24,9.5,24,5.4,24,13.8,-,24,D
Auckland Aero,20080513:0900,16.5,24,6.9,24,2.5,24,11.7,-,24,D
Auckland Aero,20080514:0900,15.1,24,8.8,24,5.0,24,12.0,-,24,D
Auckland Aero,20080515:0900,16.9,24,7.0,24,3.5,24,12.0,-,24,D
Auckland Aero,20080516:0900,17.4,24,6.2,24,1.9,24,11.8,-,24,D
Auckland Aero,20080517:0900,16.1,24,6.2,24,1.8,24,11.2,-,24,D
Auckland Aero,20080518:0900,16.9,24,6.3,24,2.0,24,11.6,-,24,D
Auckland Aero,20080519:0900,16.9,24,9.4,24,3.3,24,13.2,-,24,D
Auckland Aero,20080520:0900,17.5,24,11.7,24,6.8,24,14.6,-,24,D
Auckland Aero,20080521:0900,16.7,24,11.1,24,8.1,24,13.9,-,24,D
Auckland Aero,20080522:0900,15.3,24,8.5,24,5.0,24,11.9,-,24,D
Auckland Aero,20080523:0900,15.8,24,8.0,24,3.4,24,11.9,-,24,D
Auckland Aero,20080524:0900,18.1,24,9.9,24,5.8,24,14.0,-,24,D
Auckland Aero,20080525:0900,16.8,24,6.8,24,2.9,24,11.8,-,24,D
Auckland Aero,20080526:0900,15.7,24,9.8,24,9.1,24,12.8,-,24,D
Auckland Aero,20080527:0900,14.0,24,7.5,24,4.2,24,10.8,-,24,D
Auckland Aero,20080528:0900,15.2,24,6.7,24,1.1,24,11.0,-,24,D
Auckland Aero,20080529:0900,15.1,24,3.1,24,-0.3,24,9.1,-,24,D
Auckland Aero,20080530:0900,14.9,24,6.6,24,3.0,24,10.8,-,24,D
Auckland Aero,20080531:0900,16.5,24,10.3,24,7.3,24,13.4,-,24,D
Auckland Aero,20080601:0900,16.0,24,7.7,24,5.2,24,11.9,-,24,D
Auckland Aero,20080602:0900,17.3,24,9.2,24,7.2,24,13.3,-,24,D
Auckland Aero,20080603:0900,16.4,24,7.0,24,1.3,24,11.7,-,24,D
Auckland Aero,20080604:0900,15.1,24,10.6,24,9.1,24,12.9,-,24,D
Auckland Aero,20080605:0900,15.1,24,3.0,24,-0.7,24,9.1,-,24,D
Auckland Aero,20080606:0900,15.6,24,7.0,24,6.7,24,11.3,-,24,D
Auckland Aero,20080607:0900,16.0,24,9.4,24,7.0,24,12.7,-,24,D
Auckland Aero,20080608:0900,16.8,24,11.1,24,7.5,24,14.0,-,24,D
Auckland Aero,20080609:0900,14.0,24,8.3,24,2.5,24,11.2,-,24,D
Auckland Aero,20080610:0900,15.9,24,10.2,24,3.8,24,13.1,-,24,D
Auckland Aero,20080611:0900,17.1,24,7.4,24,2.3,24,12.3,-,24,D
Auckland Aero,20080612:0900,15.0,24,11.7,24,10.6,24,13.4,-,24,D
Auckland Aero,20080613:0900,16.0,24,10.8,24,5.1,24,13.4,-,24,D
Auckland Aero,20080614:0900,17.5,24,10.2,24,4.8,24,13.9,-,24,D
Auckland Aero,20080615:0900,17.8,24,12.1,24,7.7,24,15.0,-,24,D
Auckland Aero,20080616:0900,18.5,24,14.4,24,13.2,24,16.5,-,24,D
Auckland Aero,20080617:0900,17.9,24,13.6,24,10.8,24,15.8,-,24,D
Auckland Aero,20080618:0900,17.4,24,9.9,24,7.2,24,13.7,-,24,D
Auckland Aero,20080619:0900,14.2,24,8.8,24,6.4,24,11.5,-,24,D
Auckland Aero,20080620:0900,13.7,24,9.2,24,7.6,24,11.5,-,24,D
Auckland Aero,20080621:0900,14.0,24,8.0,24,-,-,11.0,-,24,D
Auckland Aero,20080622:0900,16.4,24,10.8,24,10.0,24,13.6,-,24,D
Auckland Aero,20080623:0900,17.5,24,11.4,24,9.5,24,14.5,-,24,D
Auckland Aero,20080624:0900,14.0,24,9.0,24,-,-,11.5,-,24,D
Auckland Aero,20080625:0900,13.4,24,4.8,24,2.6,24,9.1,-,24,D
Auckland Aero,20080626:0900,15.2,24,9.6,24,8.9,24,12.4,-,24,D
Auckland Aero,20080627:0900,15.4,24,8.6,24,7.9,24,12.0,-,24,D
Auckland Aero,20080628:0900,15.7,24,8.0,24,8.1,24,11.9,-,24,D
Auckland Aero,20080629:0900,13.2,24,7.0,24,6.0,24,10.1,-,24,D
Auckland Aero,20080630:0900,13.9,24,6.8,24,0.8,24,10.4,-,24,D
Auckland Aero,20080701:0900,13.2,24,7.0,24,3.6,24,10.1,-,24,D
Auckland Aero,20080702:0900,14.2,24,8.3,24,4.5,24,11.3,-,24,D
Auckland Aero,20080703:0900,16.4,24,9.1,24,6.2,24,12.8,-,24,D
Auckland Aero,20080704:0900,17.8,24,9.1,24,6.3,24,13.5,-,24,D
Auckland Aero,20080705:0900,15.4,24,8.1,24,5.9,24,11.8,-,24,D
Auckland Aero,20080706:0900,10.8,24,5.3,24,0.8,24,8.1,-,24,D
Auckland Aero,20080707:0900,12.2,24,2.2,24,-0.6,24,7.2,-,24,D
Auckland Aero,20080708:0900,13.7,24,2.0,24,-1.8,24,7.9,-,24,D
Auckland Aero,20080709:0900,12.0,24,2.0,24,-,-,7.0,-,24,D
Auckland Aero,20080710:0900,12.2,24,0.2,24,-2.5,24,6.2,-,24,D
Auckland Aero,20080711:0900,14.3,24,3.5,24,7.1,24,8.9,-,24,D
Auckland Aero,20080712:0900,15.3,24,13.1,24,12.3,24,14.2,-,24,D
Auckland Aero,20080713:0900,16.0,24,7.7,24,3.4,24,11.9,-,24,D
Auckland Aero,20080714:0900,15.4,24,5.9,24,1.9,24,10.7,-,24,D
Auckland Aero,20080715:0900,14.4,24,7.8,24,4.1,24,11.1,-,24,D
Auckland Aero,20080716:0900,13.8,24,8.1,24,3.6,24,11.0,-,24,D
Auckland Aero,20080717:0900,13.3,24,9.9,24,9.3,24,11.6,-,24,D
Auckland Aero,20080718:0900,16.2,24,11.8,24,10.1,24,14.0,-,24,D
Auckland Aero,20080719:0900,16.9,24,13.9,24,14.0,24,15.4,-,24,D
Auckland Aero,20080720:0900,18.7,24,10.5,24,8.5,24,14.6,-,24,D
Auckland Aero,20080721:0900,15.7,24,9.8,24,8.8,24,12.8,-,24,D
Auckland Aero,20080722:0900,14.9,24,8.8,24,6.5,24,11.9,-,24,D
Auckland Aero,20080723:0900,14.9,24,9.4,24,8.6,24,12.2,-,24,D
Auckland Aero,20080724:0900,15.0,24,11.0,24,-,-,13.0,-,24,D
Auckland Aero,20080725:0900,14.8,24,5.6,24,0.6,24,10.2,-,24,D
Auckland Aero,20080726:0900,11.6,24,7.0,24,5.0,24,9.3,-,24,D
Auckland Aero,20080727:0900,13.4,24,8.9,24,8.7,24,11.2,-,24,D
Auckland Aero,20080728:0900,12.2,24,7.4,24,3.7,24,9.8,-,24,D
Auckland Aero,20080729:0900,15.3,24,9.7,24,6.9,24,12.5,-,24,D
Auckland Aero,20080730:0900,14.6,24,12.3,24,11.5,24,13.5,-,24,D
Auckland Aero,20080731:0900,16.5,24,12.3,24,10.2,24,14.4,-,24,D
Auckland Aero,20080801:0900,17.2,24,10.9,24,9.6,24,14.1,-,24,D
Auckland Aero,20080802:0900,15.0,24,9.5,24,7.1,24,12.3,-,24,D
Auckland Aero,20080803:0900,14.7,24,11.6,24,10.1,24,13.2,-,24,D
Auckland Aero,20080804:0900,15.6,24,9.4,24,7.3,24,12.5,-,24,D
Auckland Aero,20080805:0900,15.0,24,8.0,24,-,-,11.5,-,24,D
Auckland Aero,20080806:0900,13.6,24,10.1,24,7.5,24,11.9,-,24,D
Auckland Aero,20080807:0900,14.4,24,7.2,24,3.5,24,10.8,-,24,D
Auckland Aero,20080808:0900,13.9,24,10.6,24,8.7,24,12.3,-,24,D
Auckland Aero,20080809:0900,17.0,24,9.8,24,6.8,24,13.4,-,24,D
Auckland Aero,20080810:0900,11.0,24,2.4,24,-1.6,24,6.7,-,24,D
Auckland Aero,20080811:0900,11.1,24,5.7,24,1.9,24,8.4,-,24,D
Auckland Aero,20080812:0900,13.3,24,9.3,24,8.8,24,11.3,-,24,D
Auckland Aero,20080813:0900,17.0,24,9.0,24,-,-,13.0,-,24,D
Auckland Aero,20080814:0900,13.4,24,8.5,24,6.3,24,11.0,-,24,D
Auckland Aero,20080815:0900,13.9,24,9.1,24,5.7,24,11.5,-,24,D
Auckland Aero,20080816:0900,16.0,24,9.0,24,-,-,12.5,-,24,D
Auckland Aero,20080817:0900,14.4,24,7.6,24,5.9,24,11.0,-,24,D
Auckland Aero,20080818:0900,10.3,24,5.8,24,4.6,24,8.1,-,24,D
Auckland Aero,20080819:0900,12.5,24,7.8,24,5.9,24,10.2,-,24,D
Auckland Aero,20080820:0900,12.9,24,5.9,24,2.5,24,9.4,-,24,D
Auckland Aero,20080821:0900,13.1,24,9.3,24,6.8,24,11.2,-,24,D
Auckland Aero,20080822:0900,14.9,24,9.0,24,4.6,24,12.0,-,24,D
Auckland Aero,20080823:0900,16.0,24,10.2,24,7.8,24,13.1,-,24,D
Auckland Aero,20080824:0900,15.1,24,11.1,24,10.5,24,13.1,-,24,D
Auckland Aero,20080825:0900,17.2,24,9.0,24,8.0,24,13.1,-,24,D
Auckland Aero,20080826:0900,16.9,24,11.4,24,7.2,24,14.2,-,24,D
Auckland Aero,20080827:0900,16.1,24,10.4,24,5.6,24,13.3,-,24,D
Auckland Aero,20080828:0900,15.3,24,12.1,24,10.3,24,13.7,-,24,D
Auckland Aero,20080829:0900,15.3,24,8.5,24,3.3,24,11.9,-,24,D
Auckland Aero,20080830:0900,15.0,24,9.0,24,-,-,12.0,-,24,D
Auckland Aero,20080831:0900,13.9,24,8.0,24,5.1,24,11.0,-,24,D
Auckland Aero,20080901:0900,15.5,24,7.3,24,2.0,24,11.4,-,24,D
Auckland Aero,20080902:0900,16.5,24,8.3,24,2.6,24,12.4,-,24,D
Auckland Aero,20080903:0900,17.0,24,8.0,24,-,-,12.5,-,24,D
Auckland Aero,20080904:0900,16.1,24,8.9,24,4.5,24,12.5,-,24,D
Auckland Aero,20080905:0900,18.8,24,8.2,24,3.1,24,13.5,-,24,D
Auckland Aero,20080906:0900,13.9,24,8.5,24,4.7,24,11.2,-,24,D
Auckland Aero,20080907:0900,14.2,24,5.1,24,0.8,24,9.7,-,24,D
Auckland Aero,20080908:0900,17.0,24,12.0,24,-,-,14.5,-,24,D
Auckland Aero,20080909:0900,17.0,24,14.0,24,-,-,15.5,-,24,D
Auckland Aero,20080910:0900,17.8,24,8.6,24,3.9,24,13.2,-,24,D
Auckland Aero,20080911:0900,16.0,24,8.8,24,7.5,24,12.4,-,24,D
Auckland Aero,20080912:0900,16.1,24,10.3,24,7.4,24,13.2,-,24,D
Auckland Aero,20080913:0900,16.6,24,8.5,24,5.0,24,12.6,-,24,D
Auckland Aero,20080914:0900,16.0,24,10.0,24,-,-,13.0,-,24,D
Auckland Aero,20080915:0900,15.2,24,6.6,24,-0.6,24,10.9,-,24,D
Auckland Aero,20080916:0900,17.4,24,9.7,24,3.1,24,13.6,-,24,D
Auckland Aero,20080917:0900,17.0,24,12.0,24,-,-,14.5,-,24,D
Auckland Aero,20080918:0900,16.8,24,10.0,24,7.6,24,13.4,-,24,D
Auckland Aero,20080919:0900,16.0,24,10.0,24,-,-,13.0,-,24,D
Auckland Aero,20080920:0900,16.3,24,9.4,24,4.8,24,12.9,-,24,D
Auckland Aero,20080921:0900,16.9,24,7.4,24,0.4,24,12.2,-,24,D
Auckland Aero,20080922:0900,16.4,24,12.4,24,9.7,24,14.4,-,24,D
Auckland Aero,20080923:0900,17.5,24,10.2,24,4.3,24,13.9,-,24,D
Auckland Aero,20080924:0900,18.8,24,11.8,24,7.9,24,15.3,-,24,D
Auckland Aero,20080925:0900,19.1,24,13.3,24,11.1,24,16.2,-,24,D
Auckland Aero,20080926:0900,16.8,24,10.5,24,6.1,24,13.7,-,24,D
Auckland Aero,20080927:0900,15.5,24,8.0,24,1.1,24,11.8,-,24,D
Auckland Aero,20080928:0800,17.7,24,11.5,24,9.2,24,14.6,-,24,D
Auckland Aero,20080929:0800,15.6,24,6.3,24,-0.4,24,11.0,-,24,D
Auckland Aero,20080930:0800,17.2,24,11.5,24,8.0,24,14.4,-,24,D
Auckland Aero,20081001:0800,16.0,24,8.9,24,5.5,24,12.5,-,24,D
Auckland Aero,20081002:0800,15.2,24,9.5,24,7.1,24,12.4,-,24,D
Auckland Aero,20081003:0800,15.5,24,12.0,24,10.0,24,13.8,-,24,D
Auckland Aero,20081004:0800,17.0,24,13.0,24,-,-,15.0,-,24,D
Auckland Aero,20081005:0800,18.9,24,14.4,24,12.6,24,16.7,-,24,D
Auckland Aero,20081006:0800,18.2,24,14.1,24,13.9,24,16.2,-,24,D
Auckland Aero,20081007:0800,16.6,24,14.8,24,14.2,24,15.7,-,24,D
Auckland Aero,20081008:0800,19.7,24,12.0,24,10.1,24,15.9,-,24,D
Auckland Aero,20081009:0800,16.6,24,10.5,24,9.0,24,13.6,-,24,D
Auckland Aero,20081010:0800,15.2,24,9.6,24,7.5,24,12.4,-,24,D
Auckland Aero,20081011:0800,15.5,24,11.4,24,9.0,24,13.5,-,24,D
Auckland Aero,20081012:0800,15.3,24,9.2,24,3.1,24,12.3,-,24,D
Auckland Aero,20081013:0800,19.0,24,8.8,24,4.7,24,13.9,-,24,D
Auckland Aero,20081014:0800,18.6,24,9.5,24,4.0,24,14.1,-,24,D
Auckland Aero,20081015:0800,19.6,24,9.4,24,2.4,24,14.5,-,24,D
Auckland Aero,20081016:0800,19.3,24,13.8,24,11.7,24,16.6,-,24,D
Auckland Aero,20081017:0800,20.1,24,13.0,24,12.6,24,16.6,-,24,D
Auckland Aero,20081018:0800,15.9,24,11.5,24,9.7,24,13.7,-,24,D
Auckland Aero,20081019:0800,16.2,24,11.7,24,9.7,24,14.0,-,24,D
Auckland Aero,20081020:0800,16.6,24,9.1,24,2.3,24,12.9,-,24,D
Auckland Aero,20081021:0800,16.7,24,10.2,24,6.8,24,13.5,-,24,D
Auckland Aero,20081022:0800,17.9,24,10.2,24,4.1,24,14.1,-,24,D
Auckland Aero,20081023:0800,19.2,24,13.1,24,7.8,24,16.2,-,24,D
Auckland Aero,20081024:0800,19.1,24,14.8,24,13.7,24,17.0,-,24,D
Auckland Aero,20081025:0800,19.8,24,12.9,24,8.0,24,16.4,-,24,D
Auckland Aero,20081026:0800,18.0,24,10.1,24,9.2,24,14.1,-,24,D
Auckland Aero,20081027:0800,16.0,24,6.0,24,-,-,11.0,-,24,D
Auckland Aero,20081028:0800,16.5,24,13.2,24,11.5,24,14.9,-,24,D
Auckland Aero,20081029:0800,17.5,24,12.8,24,10.4,24,15.2,-,24,D
Auckland Aero,20081030:0800,16.6,24,12.2,24,9.9,24,14.4,-,24,D
Auckland Aero,20081031:0800,16.1,24,12.0,24,9.8,24,14.1,-,24,D
Auckland Aero,20081101:0800,16.5,24,11.6,24,9.0,24,14.1,-,24,D
Auckland Aero,20081102:0800,17.3,24,12.9,24,11.9,24,15.1,-,24,D
Auckland Aero,20081103:0800,17.9,24,11.2,24,6.8,24,14.6,-,24,D
Auckland Aero,20081104:0800,19.1,24,13.6,24,11.1,24,16.4,-,24,D
Auckland Aero,20081105:0800,18.9,24,13.1,24,12.7,24,16.0,-,24,D
Auckland Aero,20081106:0800,16.6,24,10.2,24,7.9,24,13.4,-,24,D
Auckland Aero,20081107:0800,16.8,24,11.1,24,9.1,24,14.0,-,24,D
Auckland Aero,20081108:0800,15.8,24,8.0,24,2.2,24,11.9,-,24,D
Auckland Aero,20081109:0800,18.3,24,12.4,24,10.0,24,15.4,-,24,D
Auckland Aero,20081110:0800,19.3,24,12.6,24,10.2,24,16.0,-,24,D
Auckland Aero,20081111:0800,18.0,24,11.0,24,-,-,14.5,-,24,D
Auckland Aero,20081112:0800,20.3,24,10.6,24,5.5,24,15.5,-,24,D
Auckland Aero,20081113:0800,22.1,24,13.5,24,9.6,24,17.8,-,24,D
Auckland Aero,20081114:0800,18.7,24,13.5,24,12.2,24,16.1,-,24,D
Auckland Aero,20081115:0800,23.0,24,15.0,24,-,-,19.0,-,24,D
Auckland Aero,20081116:0800,20.9,24,13.4,24,8.3,24,17.2,-,24,D
Auckland Aero,20081117:0800,21.0,24,15.8,24,14.5,24,18.4,-,24,D
Auckland Aero,20081118:0800,18.4,24,12.6,24,9.9,24,15.5,-,24,D
Auckland Aero,20081119:0800,17.8,24,12.3,24,10.4,24,15.1,-,24,D
Auckland Aero,20081120:0800,18.0,24,13.1,24,11.0,24,15.6,-,24,D
Auckland Aero,20081121:0800,19.0,24,7.9,24,1.4,24,13.5,-,24,D
Auckland Aero,20081122:0800,21.2,24,13.3,24,7.9,24,17.3,-,24,D
Auckland Aero,20081123:0800,21.4,24,16.6,24,14.9,24,19.0,-,24,D
Auckland Aero,20081124:0800,22.0,24,16.9,24,16.6,24,19.5,-,24,D
Auckland Aero,20081125:0800,19.5,24,16.2,24,13.7,24,17.9,-,24,D
Auckland Aero,20081126:0800,22.7,24,14.6,24,10.8,24,18.7,-,24,D
Auckland Aero,20081127:0800,22.1,24,13.7,24,12.2,24,17.9,-,24,D
Auckland Aero,20081128:0800,18.7,24,13.4,24,9.7,24,16.1,-,24,D
Auckland Aero,20081129:0800,22.6,24,13.1,24,7.1,24,17.9,-,24,D
Auckland Aero,20081130:0800,21.0,24,15.0,24,-,-,18.0,-,24,D
Auckland Aero,20081201:0800,25.6,24,16.3,24,14.6,24,21.0,-,24,D
Auckland Aero,20081202:0800,20.1,24,15.1,24,14.6,24,17.6,-,24,D
Auckland Aero,20081203:0800,20.0,24,15.0,24,-,-,17.5,-,24,D
Auckland Aero,20081204:0800,22.6,24,13.5,24,7.5,24,18.1,-,24,D
Auckland Aero,20081205:0800,23.1,24,15.7,24,11.2,24,19.4,-,24,D
Auckland Aero,20081206:0800,22.9,24,12.7,24,7.9,24,17.8,-,24,D
Auckland Aero,20081207:0800,20.1,24,11.7,24,6.6,24,15.9,-,24,D
Auckland Aero,20081208:0800,24.5,24,14.0,24,8.2,24,19.3,-,24,D
Auckland Aero,20081209:0800,20.6,24,15.5,24,14.7,24,18.1,-,24,D
Auckland Aero,20081210:0800,21.6,24,15.1,24,14.7,24,18.4,-,24,D
Auckland Aero,20081211:0800,20.8,24,15.2,24,14.1,24,18.0,-,24,D
Auckland Aero,20081212:0800,18.7,24,13.3,24,10.5,24,16.0,-,24,D
Auckland Aero,20081213:0800,21.9,24,13.5,24,9.9,24,17.7,-,24,D
Auckland Aero,20081214:0800,21.3,24,14.8,24,10.1,24,18.1,-,24,D
Auckland Aero,20081215:0800,22.8,24,16.9,24,15.8,24,19.9,-,24,D
Auckland Aero,20081216:0800,22.4,24,18.3,24,18.0,24,20.4,-,24,D
Auckland Aero,20081217:0800,26.7,24,14.6,24,13.8,24,20.7,-,24,D
Auckland Aero,20081218:0800,20.2,24,14.7,24,12.0,24,17.5,-,24,D
Auckland Aero,20081219:0800,21.1,24,13.5,24,10.7,24,17.3,-,24,D
Auckland Aero,20081220:0800,24.2,24,16.0,24,12.1,24,20.1,-,24,D
Auckland Aero,20081221:0800,24.7,24,13.9,24,11.0,24,19.3,-,24,D
Auckland Aero,20081222:0800,21.2,24,13.7,24,9.3,24,17.5,-,24,D
Auckland Aero,20081223:0800,24.2,24,13.8,24,10.2,24,19.0,-,24,D
Auckland Aero,20081224:0800,22.2,24,12.7,24,12.6,24,17.5,-,24,D
Auckland Aero,20081225:0800,19.5,24,14.3,24,12.4,24,16.9,-,24,D
Auckland Aero,20081226:0800,20.9,24,11.1,24,7.8,24,16.0,-,24,D
Auckland Aero,20081227:0800,23.7,24,13.6,24,10.2,24,18.7,-,24,D
Auckland Aero,20081228:0800,22.9,24,13.3,24,9.9,24,18.1,-,24,D
Auckland Aero,20081229:0800,23.6,24,16.5,24,12.6,24,20.1,-,24,D
Auckland Aero,20081230:0800,21.6,24,16.4,24,17.4,24,19.0,-,24,D
Auckland Aero,20081231:0800,22.2,24,14.6,24,10.9,24,18.4,-,24,D
Auckland Aero,20090101:0800,25.0,24,17.7,24,15.9,24,21.4,-,24,D
Auckland Aero,20090102:0800,24.2,24,18.0,24,15.0,24,21.1,-,24,D
Auckland Aero,20090103:0800,25.8,24,20.2,24,19.3,24,23.0,-,24,D
Auckland Aero,20090104:0800,26.7,24,15.3,24,11.6,24,21.0,-,24,D
Auckland Aero,20090105:0800,21.0,24,13.1,24,8.5,24,17.1,-,24,D
Auckland Aero,20090106:0800,21.0,24,13.0,24,-,-,17.0,-,24,D
Auckland Aero,20090107:0800,22.5,24,12.8,24,8.2,24,17.7,-,24,D
Auckland Aero,20090108:0800,22.2,24,14.9,24,11.5,24,18.6,-,24,D
Auckland Aero,20090109:0800,26.5,24,18.2,24,15.5,24,22.4,-,24,D
Auckland Aero,20090110:0800,26.2,24,19.0,24,17.5,24,22.6,-,24,D
Auckland Aero,20090111:0800,23.3,24,15.7,24,16.1,24,19.5,-,24,D
Auckland Aero,20090112:0800,22.3,24,15.0,24,12.2,24,18.7,-,24,D
Auckland Aero,20090113:0800,24.2,24,17.3,24,15.7,24,20.8,-,24,D
Auckland Aero,20090114:0800,23.0,24,16.0,24,-,-,19.5,-,24,D
Auckland Aero,20090115:0800,24.1,24,14.0,24,10.7,24,19.1,-,24,D
Auckland Aero,20090116:0800,23.1,24,16.9,24,15.2,24,20.0,-,24,D
Auckland Aero,20090117:0800,22.5,24,17.1,24,14.7,24,19.8,-,24,D
Auckland Aero,20090118:0800,24.3,24,14.9,24,13.9,24,19.6,-,24,D
Auckland Aero,20090119:0800,22.0,24,14.8,24,13.3,24,18.4,-,24,D
Auckland Aero,20090120:0800,21.4,24,15.8,24,13.1,24,18.6,-,24,D
Auckland Aero,20090121:0800,21.4,24,14.3,24,9.8,24,17.9,-,24,D
Auckland Aero,20090122:0800,21.9,24,12.2,24,8.6,24,17.1,-,24,D
Auckland Aero,20090123:0800,24.2,24,13.1,24,9.4,24,18.7,-,24,D
Auckland Aero,20090124:0800,25.2,24,14.5,24,10.1,24,19.9,-,24,D
Auckland Aero,20090125:0800,25.1,24,15.1,24,10.6,24,20.1,-,24,D
Auckland Aero,20090126:0800,24.6,24,17.7,24,15.7,24,21.2,-,24,D
Auckland Aero,20090127:0800,23.8,24,19.4,24,17.8,24,21.6,-,24,D
Auckland Aero,20090128:0800,24.0,24,15.0,24,-,-,19.5,-,24,D
Auckland Aero,20090129:0800,24.1,24,15.2,24,10.5,24,19.7,-,24,D
