Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20030314:0800,20.3,24,14.6,24,9.5,24,17.5,-,24,D
Auckland Aero,20030315:0800,21.1,24,16.4,24,15.1,24,18.8,-,24,D
Auckland Aero,20030316:0900,20.0,24,16.0,24,14.9,24,18.0,-,24,D
Auckland Aero,20030317:0900,21.7,24,11.6,24,8.0,24,16.7,-,24,D
Auckland Aero,20030318:0900,24.1,24,15.2,24,10.9,24,19.7,-,24,D
Auckland Aero,20030319:0900,22.1,24,13.6,24,9.6,24,17.9,-,24,D
Auckland Aero,20030320:0900,21.8,24,12.0,24,7.8,24,16.9,-,24,D
Auckland Aero,20030321:0900,21.8,24,13.8,24,9.8,24,17.8,-,24,D
Auckland Aero,20030322:0900,22.0,24,15.8,24,12.3,24,18.9,-,24,D
Auckland Aero,20030323:0900,23.7,24,17.0,24,14.8,24,20.4,-,24,D
Auckland Aero,20030324:0900,22.4,24,14.2,24,9.5,24,18.3,-,24,D
Auckland Aero,20030325:0900,23.8,24,16.1,24,10.7,24,20.0,-,24,D
Auckland Aero,20030326:0900,23.6,24,16.6,24,13.3,24,20.1,-,24,D
Auckland Aero,20030327:0900,23.6,24,17.8,24,16.3,24,20.7,-,24,D
Auckland Aero,20030328:0900,21.6,24,18.4,24,17.9,24,20.0,-,24,D
Auckland Aero,20030329:0900,21.7,24,17.2,24,16.0,24,19.5,-,24,D
Auckland Aero,20030330:0900,24.2,24,16.3,24,12.9,24,20.3,-,24,D
Auckland Aero,20030331:0900,24.2,24,16.5,24,14.9,24,20.4,-,24,D
Auckland Aero,20030401:0900,23.6,24,14.6,24,12.0,24,19.1,-,24,D
Auckland Aero,20030402:0900,21.9,24,15.1,24,11.8,24,18.5,-,24,D
Auckland Aero,20030403:0900,21.2,24,11.4,24,8.2,24,16.3,-,24,D
Auckland Aero,20030404:0900,20.5,24,12.7,24,9.0,24,16.6,-,24,D
Auckland Aero,20030405:0900,21.1,24,13.5,24,9.3,24,17.3,-,24,D
Auckland Aero,20030406:0900,23.0,24,17.7,24,17.3,24,20.4,-,24,D
Auckland Aero,20030407:0900,20.9,24,16.2,24,14.4,24,18.6,-,24,D
Auckland Aero,20030408:0900,20.0,24,13.7,24,9.8,24,16.9,-,24,D
Auckland Aero,20030409:0900,20.3,24,10.0,24,6.9,24,15.2,-,24,D
Auckland Aero,20030410:0900,20.1,24,11.6,24,7.6,24,15.9,-,24,D
Auckland Aero,20030411:0900,20.6,24,11.3,24,6.6,24,16.0,-,24,D
Auckland Aero,20030412:0900,20.7,24,11.6,24,7.4,24,16.2,-,24,D
Auckland Aero,20030413:0900,20.7,24,11.5,24,7.5,24,16.1,-,24,D
Auckland Aero,20030414:0900,20.1,24,12.0,24,8.6,24,16.1,-,24,D
Auckland Aero,20030415:0900,19.5,24,14.3,24,12.1,24,16.9,-,24,D
Auckland Aero,20030416:0900,21.6,24,13.1,24,10.3,24,17.4,-,24,D
Auckland Aero,20030417:0900,21.8,24,15.6,24,12.6,24,18.7,-,24,D
Auckland Aero,20030418:0900,22.9,24,13.0,24,9.3,24,18.0,-,24,D
Auckland Aero,20030419:0900,20.7,24,12.3,24,8.3,24,16.5,-,24,D
Auckland Aero,20030420:0900,20.8,24,14.6,24,12.3,24,17.7,-,24,D
Auckland Aero,20030421:0900,19.5,24,14.5,24,10.9,24,17.0,-,24,D
Auckland Aero,20030422:0900,19.6,24,12.5,24,8.2,24,16.1,-,24,D
Auckland Aero,20030423:0900,21.6,24,12.4,24,6.9,24,17.0,-,24,D
Auckland Aero,20030424:0900,19.0,24,13.5,24,10.2,24,16.3,-,24,D
Auckland Aero,20030425:0900,18.3,24,13.7,24,10.3,24,16.0,-,24,D
Auckland Aero,20030426:0900,18.4,24,6.9,24,1.6,24,12.7,-,24,D
Auckland Aero,20030427:0900,16.8,24,11.0,24,11.1,24,13.9,-,24,D
Auckland Aero,20030428:0900,18.4,24,10.6,24,4.9,24,14.5,-,24,D
Auckland Aero,20030429:0900,18.8,24,8.7,24,2.6,24,13.8,-,24,D
Auckland Aero,20030430:0900,18.7,24,9.3,24,3.7,24,14.0,-,24,D
Auckland Aero,20030501:0900,19.4,24,11.8,24,6.1,24,15.6,-,24,D
Auckland Aero,20030502:0900,20.3,24,15.7,24,13.5,24,18.0,-,24,D
Auckland Aero,20030503:0900,19.3,24,13.6,24,12.0,24,16.5,-,24,D
Auckland Aero,20030504:0900,17.6,24,10.0,24,6.6,24,13.8,-,24,D
Auckland Aero,20030505:0900,19.1,24,9.7,24,6.0,24,14.4,-,24,D
Auckland Aero,20030506:0900,20.2,24,12.1,24,8.5,24,16.2,-,24,D
Auckland Aero,20030507:0900,18.6,24,12.6,24,10.2,24,15.6,-,24,D
Auckland Aero,20030508:0900,17.7,24,9.3,24,5.2,24,13.5,-,24,D
Auckland Aero,20030509:0900,18.2,24,8.8,24,3.6,24,13.5,-,24,D
Auckland Aero,20030510:0900,18.7,24,11.2,24,8.0,24,15.0,-,24,D
