
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20220406:2359,6.0,24,D
Auckland, North Shore Albany Ews,20220407:2359,9.5,24,D
Auckland, North Shore Albany Ews,20220408:2359,8.1,24,D
Auckland, North Shore Albany Ews,20220409:2359,9.9,24,D
Auckland, North Shore Albany Ews,20220410:2359,9.3,24,D
Auckland, North Shore Albany Ews,20220411:2359,7.8,24,D
Auckland, North Shore Albany Ews,20220412:2359,0.4,24,D
Auckland, North Shore Albany Ews,20220413:2359,1.1,24,D
Auckland, North Shore Albany Ews,20220414:2359,9.4,24,D
Auckland, North Shore Albany Ews,20220415:2359,10.3,24,D
Auckland, North Shore Albany Ews,20220416:2359,7.9,24,D
Auckland, North Shore Albany Ews,20220417:2359,6.4,24,D
Auckland, North Shore Albany Ews,20220418:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220419:2359,0.2,24,D
Auckland, North Shore Albany Ews,20220420:2359,1.8,24,D
Auckland, North Shore Albany Ews,20220421:2359,6.3,24,D
Auckland, North Shore Albany Ews,20220422:2359,2.7,24,D
Auckland, North Shore Albany Ews,20220423:2359,9.9,24,D
Auckland, North Shore Albany Ews,20220424:2359,5.8,24,D
Auckland, North Shore Albany Ews,20220425:2359,6.6,24,D
Auckland, North Shore Albany Ews,20220426:2359,5.6,24,D
Auckland, North Shore Albany Ews,20220427:2359,4.1,24,D
Auckland, North Shore Albany Ews,20220428:2359,7.7,24,D
Auckland, North Shore Albany Ews,20220429:2359,6.4,24,D
Auckland, North Shore Albany Ews,20220430:2359,8.9,24,D
Auckland, North Shore Albany Ews,20220501:2359,6.3,24,D
Auckland, North Shore Albany Ews,20220502:2359,9.3,24,D
Auckland, North Shore Albany Ews,20220503:2359,7.6,24,D
Auckland, North Shore Albany Ews,20220504:2359,4.6,24,D
Auckland, North Shore Albany Ews,20220505:2359,8.4,24,D
Auckland, North Shore Albany Ews,20220506:2359,9.4,24,D
Auckland, North Shore Albany Ews,20220507:2359,9.2,24,D
Auckland, North Shore Albany Ews,20220508:2359,6.2,24,D
Auckland, North Shore Albany Ews,20220509:2359,1.2,24,D
Auckland, North Shore Albany Ews,20220510:2359,8.1,24,D
Auckland, North Shore Albany Ews,20220511:2359,9.2,24,D
Auckland, North Shore Albany Ews,20220512:2359,9.1,24,D
Auckland, North Shore Albany Ews,20220513:2359,8.4,24,D
Auckland, North Shore Albany Ews,20220514:2359,0.6,24,D
Auckland, North Shore Albany Ews,20220515:2359,1.1,24,D
Auckland, North Shore Albany Ews,20220516:2359,0.4,24,D
Auckland, North Shore Albany Ews,20220517:2359,1.3,24,D
Auckland, North Shore Albany Ews,20220518:2359,0.9,24,D
Auckland, North Shore Albany Ews,20220519:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220520:2359,4.1,24,D
Auckland, North Shore Albany Ews,20220521:2359,5.1,24,D
Auckland, North Shore Albany Ews,20220522:2359,4.4,24,D
Auckland, North Shore Albany Ews,20220523:2359,6.3,24,D
Auckland, North Shore Albany Ews,20220524:2359,3.2,24,D
Auckland, North Shore Albany Ews,20220525:2359,4.3,24,D
Auckland, North Shore Albany Ews,20220526:2359,6.9,24,D
